STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/2001,65,73,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/2001,61,73,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/20/2001,63,77,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/21/2001,62,70,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/22/2001,56,61,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/23/2001,54,63,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/24/2001,51,60,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/25/2001,51,59,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/26/2001,48,57,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/27/2001,55,61,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/28/2001,59,67,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/29/2001,53,62,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/30/2001,53,60,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/31/2001,53,62,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/2001,57,65,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/2001,53,56,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/2001,52,55,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/2001,51,55,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/2001,53,58,47
